issue_id,issue,impact,feasibility,stakeholder_weight,weighted_score,quadrant
I01,레거시 시스템을 어떻게 현대화할 것인가?,8,4,1.2,38.4,Strategic
I02,디지털 인재를 어떻게 확보할 것인가?,9,5,1.0,45.0,Strategic
I03,데이터 기반 의사결정 체계를 어떻게 구축할 것인가?,7,7,1.1,53.900000000000006,Quick Win
I04,고객 경험을 어떻게 디지털화할 것인가?,9,6,1.3,70.2,Quick Win
I05,공급망을 어떻게 디지털화할 것인가?,6,4,0.8,19.200000000000003,Strategic
I06,직원들의 디지털 역량을 어떻게 강화할 것인가?,7,8,0.9,50.4,Quick Win
I07,사이버 보안 위험을 어떻게 관리할 것인가?,8,6,1.1,52.800000000000004,Quick Win
I08,디지털 투자 우선순위를 어떻게 결정할 것인가?,7,8,1.2,67.2,Quick Win
I09,조직 문화를 어떻게 변화시킬 것인가?,6,3,0.7,12.6,Strategic
I10,외부 파트너십을 어떻게 활용할 것인가?,5,7,0.8,28.0,Fill-in
I11,AI/ML을 어떤 업무에 먼저 적용할 것인가?,8,5,1.0,40.0,Strategic
I12,디지털 전환 성과를 어떻게 측정할 것인가?,6,9,1.0,54.0,Quick Win
