대학명,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
한신대학교,9.6,9.7,8.3,9.9,9.6,9.1,7.1,6.1,5.9,6.9
강남대학교,6.7,6.8,6.9,8.7,7.4,5.7,7.4,7.9,6.8,8.4
경기대학교,12.1,10.8,10.3,9.6,9.8,7.8,10.2,9.3,11.6,13.1
남서울대학교,6.8,6.0,8.4,7.6,7.7,6.7,8.7,9.5,7.2,7.0
대전대학교,6.2,7.8,7.2,8.1,5.5,7.6,8.2,6.8,6.9,6.8
대진대학교,6.7,6.4,6.3,7.1,6.2,5.0,6.1,7.7,6.5,6.2
목원대학교,5.8,5.4,5.6,5.4,5.7,4.6,4.9,5.6,5.3,6.3
배재대학교,4.7,6.0,5.9,6.7,6.3,5.4,5.1,5.8,5.8,6.6
상지대학교,4.2,4.3,4.6,4.9,5.6,4.9,3.8,5.0,5.6,6.1
서원대학교,8.0,6.6,6.5,7.4,7.2,6.6,6.6,6.0,6.1,6.4
성결대학교,10.5,12.7,13.0,11.8,10.3,8.3,8.1,9.3,8.8,8.5
세명대학교,5.5,6.2,5.8,6.0,5.5,4.3,4.5,4.9,4.4,4.7
수원대학교,10.6,9.8,11.4,13.2,11.2,10.1,12.6,12.9,13.0,13.9
안양대학교,8.3,11.9,8.7,10.1,8.1,7.4,9.5,10.7,11.9,11.7
용인대학교,9.2,8.1,9.1,9.5,9.5,7.8,9.7,7.4,8.0,10.2
중부대학교,7.4,8.1,8.7,9.8,7.4,6.7,6.9,6.6,6.8,7.5
평택대학교,8.9,12.4,11.9,10.9,12.7,9.2,7.3,6.9,7.8,8.8
한림대학교,6.5,4.8,5.2,6.0,5.3,4.6,4.6,5.6,5.5,5.4
한서대학교,9.9,12.1,11.0,12.2,9.7,6.6,6.2,6.8,6.1,7.4
한세대학교,9.9,9.9,16.2,11.1,9.9,9.7,10.6,10.1,8.9,11.7
협성대학교,7.5,7.0,8.6,8.8,7.5,7.8,6.3,7.5,7.6,8.3
